question,predicted_paper,correct_paper,is_correct,retrieved_ids,retrieved_scores,retrieved_titles,latency_ms
What techniques improve Transformer training speed without losing performance?,2510.09187v1,,,"['2510.09187v1', '2510.12850v1', '2510.11073v1', '2509.23158v1', '2510.08662v1']","[0.03650536269561713, 0.03375034567218175, 0.019083522118846882, 0.013871640114764222, 0.011983280725569895]","['Modern Deep Learning Approaches for Cricket Shot Classification: A Comprehensive Baseline Study', 'Ethic-BERT: An Enhanced Deep Learning Model for Ethical and Non-Ethical Content Classification', 'ROFI: A Deep Learning-Based Ophthalmic Sign-Preserving and Reversible Patient Face Anonymizer', 'Deep Learning-Based Detection of Cognitive Impairment from Passive Smartphone Sensing with Routine-Aware Augmentation and Demographic Personalization', 'DPCformer: An Interpretable Deep Learning Model for Genomic Prediction in Crops']",5.149602890014648
Are deep learning methods effective for crime forecasting compared to traditional models?,2509.20913v1,2509.20913v1,True,"['2509.20913v1', '2510.13050v1', '2510.08411v1', '2510.12758v1', '2510.08662v1']","[0.3640003366579495, 0.0268419594985465, 0.015137321035119819, 0.012256501757201471, 0.012114447145108514]","['Deep Learning for Crime Forecasting: The Role of Mobility at Fine-grained Spatiotemporal Scales', 'An Operational Deep Learning System for Satellite-Based High-Resolution Global Nowcasting', 'Emergent Denoising of SDSS Galaxy Spectra Through Unsupervised Deep Learning', 'PET Head Motion Estimation Using Supervised Deep Learning with Attention', 'DPCformer: An Interpretable Deep Learning Model for Genomic Prediction in Crops']",4.307270050048828
"Should I train separate models for different crime types, or combine them?",2509.20913v1,2509.20913v1,True,"['2509.20913v1', '2510.13937v1', '2510.14855v1', '2510.05736v1', '2510.08770v1']","[0.34201285661911274, 0.016206032921281515, 0.015071219082331621, 0.013246022984174498, 0.007701935754234184]","['Deep Learning for Crime Forecasting: The Role of Mobility at Fine-grained Spatiotemporal Scales', 'Rock Classification through Knowledge-Enhanced Deep Learning: A Hybrid Mineral-Based Approach', 'A Multi-Task Deep Learning Framework for Skin Lesion Classification, ABCDE Feature Quantification, and Evolution', 'Convolution and Graph-based Deep Learning Approaches for Gamma/Hadron Separation in Imaging Atmospheric Cherenkov Telescopes', 'Detecting spills using thermal imaging, pretrained deep learning models, and a robotic platform']",4.160881042480469
Which deep learning approaches work well for gamma/hadron separation?,2510.05736v1,2510.05736v1,True,"['2510.05736v1', '2510.08116v1', '2510.09187v1', '2510.10822v1', '2510.13937v1']","[0.11567435211260524, 0.014313620255715866, 0.011063839454370259, 0.003959844324485836, 0.003050730837983664]","['Convolution and Graph-based Deep Learning Approaches for Gamma/Hadron Separation in Imaging Atmospheric Cherenkov Telescopes', 'Random Window Augmentations for Deep Learning Robustness in CT and Liver Tumor Segmentation', 'Modern Deep Learning Approaches for Cricket Shot Classification: A Comprehensive Baseline Study', 'From Detection to Mitigation: Addressing Bias in Deep Learning Models for Chest X-Ray Diagnosis', 'Rock Classification through Knowledge-Enhanced Deep Learning: A Hybrid Mineral-Based Approach']",4.634857177734375
What frameworks and optimization strategies were used to train DPCformer?,2510.08662v1,2510.08662v1,True,"['2510.08662v1', '2510.12850v1', '2510.05163v1', '2510.07320v1', '2510.09187v1']","[0.11608184141779197, 0.013939034841696379, 0.012984690725971913, 0.011477843949709556, 0.009866920671366786]","['DPCformer: An Interpretable Deep Learning Model for Genomic Prediction in Crops', 'Ethic-BERT: An Enhanced Deep Learning Model for Ethical and Non-Ethical Content Classification', 'Deep Learning-Based Multi-Factor Authentication: A Survey of Biometric and Smart Card Integration Approaches', 'Deep Learning Based Approach to Enhanced Recognition of Emotions and Behavioral Patterns of Autistic Children', 'Modern Deep Learning Approaches for Cricket Shot Classification: A Comprehensive Baseline Study']",5.525827407836914
How do modern architectures perform on complex video tasks compared to older methods?,2510.09187v1,2510.09187v1,True,"['2510.09187v1', '2510.13137v1', '2510.10822v1', '2510.12850v1', '2510.05163v1']","[0.0856315437687784, 0.03370468029842378, 0.019036947208518527, 0.01701147137415265, 0.015025819293211392]","['Modern Deep Learning Approaches for Cricket Shot Classification: A Comprehensive Baseline Study', 'Real-Time Sign Language to text Translation using Deep Learning: A Comparative study of LSTM and 3D CNN', 'From Detection to Mitigation: Addressing Bias in Deep Learning Models for Chest X-Ray Diagnosis', 'Ethic-BERT: An Enhanced Deep Learning Model for Ethical and Non-Ethical Content Classification', 'Deep Learning-Based Multi-Factor Authentication: A Survey of Biometric and Smart Card Integration Approaches']",5.132198333740234
How can I train models stably with limited computational resources?,2510.13137v1,2510.12850v1,False,"['2510.13137v1', '2510.10822v1', '2510.07320v1', '2509.20913v1', '2510.12758v1']","[0.035820642585726495, 0.020431907470804644, 0.015442171729151017, 0.015120824558644235, 0.010692954616507502]","['Real-Time Sign Language to text Translation using Deep Learning: A Comparative study of LSTM and 3D CNN', 'From Detection to Mitigation: Addressing Bias in Deep Learning Models for Chest X-Ray Diagnosis', 'Deep Learning Based Approach to Enhanced Recognition of Emotions and Behavioral Patterns of Autistic Children', 'Deep Learning for Crime Forecasting: The Role of Mobility at Fine-grained Spatiotemporal Scales', 'PET Head Motion Estimation Using Supervised Deep Learning with Attention']",4.976749420166016
Why is preprocessing important for Ethic-BERT’s performance?,2510.12850v1,2510.12850v1,True,"['2510.12850v1', '2510.10729v1', '2510.07320v1', '2510.08116v1', '2510.09187v1']","[0.19850141055683562, 0.08158647591658368, 0.033142433944452494, 0.010309324725364784, 0.008651700978872289]","['Ethic-BERT: An Enhanced Deep Learning Model for Ethical and Non-Ethical Content Classification', 'Sarcasm Detection Using Deep Convolutional Neural Networks: A Modular Deep Learning', 'Deep Learning Based Approach to Enhanced Recognition of Emotions and Behavioral Patterns of Autistic Children', 'Random Window Augmentations for Deep Learning Robustness in CT and Liver Tumor Segmentation', 'Modern Deep Learning Approaches for Cricket Shot Classification: A Comprehensive Baseline Study']",4.652500152587891
What are the main strengths of using an LSTM model for real-time sign language translation?,2510.13137v1,2510.13137v1,True,"['2510.13137v1', '2510.11073v1', '2509.23158v1', '2510.08770v1', '2510.12758v1']","[0.35011963774527827, 0.04675865526142198, 0.03597653018008454, 0.03278082978352628, 0.02446006416543651]","['Real-Time Sign Language to text Translation using Deep Learning: A Comparative study of LSTM and 3D CNN', 'ROFI: A Deep Learning-Based Ophthalmic Sign-Preserving and Reversible Patient Face Anonymizer', 'Deep Learning-Based Detection of Cognitive Impairment from Passive Smartphone Sensing with Routine-Aware Augmentation and Demographic Personalization', 'Detecting spills using thermal imaging, pretrained deep learning models, and a robotic platform', 'PET Head Motion Estimation Using Supervised Deep Learning with Attention']",3.9048194885253906
How does model selection affect responsiveness in real-time applications?,2510.13137v1,2510.13137v1,True,"['2510.13137v1', '2510.08770v1', '2510.08662v1', '2510.13050v1', '2509.23158v1']","[0.10533618645846364, 0.042456903708284685, 0.03256878880510204, 0.027410589541774354, 0.014183169008457971]","['Real-Time Sign Language to text Translation using Deep Learning: A Comparative study of LSTM and 3D CNN', 'Detecting spills using thermal imaging, pretrained deep learning models, and a robotic platform', 'DPCformer: An Interpretable Deep Learning Model for Genomic Prediction in Crops', 'An Operational Deep Learning System for Satellite-Based High-Resolution Global Nowcasting', 'Deep Learning-Based Detection of Cognitive Impairment from Passive Smartphone Sensing with Routine-Aware Augmentation and Demographic Personalization']",4.050731658935547
